Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
2000,0.41844374,0.00029994745,-32.011433,-1.3316498159219918,996.5,-1.4607999622821808
4000,0.21398544,0.0002998275,-29.422874,-1.489149669323524,996.0,-1.100849986076355
6000,0.49014866,0.00029970752,-22.780727,-1.500049900932936,996.0,-1.5629999041557312
8000,0.3496445,0.0002995875,-48.141884,-1.5565996334771626,996.0,-1.9156499058008194
10000,0.10782457,0.0002994675,-26.141983,-1.8450998720072675,996.0,-1.0914500206708908
12000,0.49899825,0.00029934745,-29.187887,-1.4776997328663128,996.5,-1.8218498826026917
14000,0.44611368,0.00029922745,-31.041122,-1.649299632255861,996.0,-1.6022498905658722
16000,0.017626159,0.00029910743,-39.178677,-2.4439497026323806,996.0,-2.012849882245064
18000,0.95766693,0.0002989874,-1.8793316,-1.0591998992895242,996.0,-2.0094498991966248
20000,0.5882036,0.00029886747,-10.243425,-0.9998499311332125,996.0,-1.0048500522971153
22000,0.7614005,0.0002987474,-10.239462,-1.5396998129108397,996.5,-1.540100023150444
24000,0.38380796,0.00029862736,-18.505976,-1.569849686078669,996.0,-1.0565000176429749
26000,0.33878186,0.0002985074,-24.4778,-1.744099533170811,996.0,-1.7671998366713524
28000,0.11708603,0.00029838737,-28.442133,-1.935149494674988,996.0,-1.9785998314619064
30000,0.13282277,0.00029826735,-29.264206,-1.5557996339339297,996.0,-1.5218998938798904
32000,0.9264093,0.00029814732,-14.795729,-1.261299795089144,996.5,-1.6992998719215393
34000,0.06526779,0.0002980273,-31.172636,-1.9400994647294283,996.0,-1.4893999099731445
36000,1.0255829,0.00029790224,-0.3093637,4.164200062630698,822.5,2.1141666372617087
38000,0.26227096,0.0002977774,-17.724855,-1.4963996653787035,996.0,-1.4963999390602112
40000,0.712102,0.00029765742,-19.479036,-1.4926996674766997,996.0,-1.4926999509334564
42000,0.9715717,0.00029753745,-6.594088,-1.157149846869288,996.0,-1.157150000333786
44000,0.26494905,0.0002974175,-21.624294,-1.3075497666723095,996.0,-1.3075499534606934
46000,0.32213,0.00029729737,-51.223972,-1.9862994038267061,996.5,-1.986299842596054
48000,0.4524506,0.00029717738,-16.808401,-1.5321996469974692,996.0,-1.532199926674366
50000,0.8660014,0.0002970574,-5.242516,-1.2401998533605365,996.0,-1.2402000278234482
52000,0.6456315,0.00029693736,-26.892231,-2.321899849543115,996.0,-2.3218998312950134
54000,0.31994522,0.00029681736,-8.773306,-1.6122497448814102,996.0,-1.612249955534935
