Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
4080000,0.41918722,0.00012516581,2.1467297,49.39790085935965,600.5,-1.0000000596046448
4082000,0.85471153,0.00012509686,6.4899197,66.25410084629159,411.3333333333333,74.6395256742835
4084000,0.65010476,0.00012501013,7.9340067,74.42747517676798,570.75,74.42747622728348
4086000,0.8416708,0.00012492629,2.2970939,66.04019995363585,624.3333333333334,66.0401984155178
4088000,0.9067739,0.00012484349,3.3316004,74.50497387746873,493.25,74.50497501343489
4090000,0.6733239,0.00012475913,5.8920455,99.50978194293566,488.6,99.43852500617504
4092000,0.78127253,0.00012467579,2.0255852,99.27260332158767,725.0,99.44666866461436
4094000,0.99500626,0.00012458673,1.8684434,32.60526635466764,725.3333333333334,32.60526688893636
4096000,0.51841974,0.00012449926,4.0913067,66.03623419464566,628.3333333333334,66.03623629609744
4098000,0.7686761,0.0001244149,5.34498,99.40730049655151,590.3333333333334,99.40729878346126
4100000,0.6398397,0.00012432637,6.427865,74.34797429722676,649.75,74.34797418117523
4102000,0.49834028,0.00012424069,4.370095,49.303350048008724,694.5,49.3033497184515
4104000,0.7138738,0.00012415832,5.4144454,32.43286700134195,897.6666666666666,-0.9991500526666641
4106000,0.7735356,0.00012407235,2.3334992,65.97639995801728,687.6666666666666,66.05006721615791
4108000,1.0052717,0.00012398534,1.8904539,-0.9992499311410938,996.0,49.03835125267506
4110000,0.3375784,0.0001239014,15.904284,66.03039995429572,633.6666666666666,66.03059753775597
4112000,0.8853464,0.00012381315,12.151348,66.1890332767119,476.0,49.39179927110672
4114000,0.725805,0.00012372492,14.682012,74.52437666850165,474.0,74.52437676489353
4116000,0.6341396,0.00012364214,3.9406154,74.3818240232722,615.75,74.38182239979506
4118000,0.7470527,0.00012355795,4.652265,66.09566607123513,569.0,66.09566720326741
4120000,0.4128095,0.0001234724,5.3936086,74.36575120335328,632.0,65.90123696128528
4122000,0.61928606,0.00012338377,9.142788,82.98468426676602,347.5,83.02676557997863
4124000,0.8020943,0.00012329941,4.5455303,66.05116489427746,613.3333333333334,65.93426625927289
4126000,0.8343756,0.00012321597,4.344214,66.06843328501175,596.0,74.51569812744856
4128000,0.93903273,0.00012312601,2.0990984,74.46725037848228,530.75,74.46724852919579
4130000,0.7120274,0.00012303791,3.4594448,49.00174911660724,994.5,49.00175058841705
4132000,1.0376003,0.00012295229,2.2485838,66.00403501472708,660.3333333333334,66.00403452912967
4134000,0.7590789,0.00012286719,3.6096032,74.57072537136264,427.75,74.5707266330719
4136000,0.46110514,0.00012278407,14.392039,79.5694183963482,429.0,79.56941781044006
4138000,1.0840043,0.00012270157,5.1206636,66.18396833566173,481.0,66.18396782875061
4140000,0.6503437,0.0001226149,6.2422943,59.48267998192459,515.4,59.482679003477095
4142000,0.6287086,0.00012253008,5.1021643,74.59612496067712,402.5,74.59612271934748
4144000,0.9136525,0.00012244744,3.0642424,66.08830113033764,576.3333333333334,66.08830120166142
4146000,0.60286665,0.00012235693,10.247954,32.58766635587866,743.0,32.58766642212868
4148000,0.44988593,0.00012226921,12.811025,32.46216609191227,868.0,49.19315004348755
4150000,0.68085045,0.00012218383,5.5004115,79.62516073624138,373.4,66.18766768276691
4152000,0.9285301,0.0001220958,3.1090424,49.441124086342825,557.0,32.660367200771965
4154000,0.95322245,0.00012201208,3.2647212,66.28229875691856,382.6666666666667,74.65757429599762
4156000,0.7472773,0.00012192912,2.9605265,74.38824908998504,609.5,74.3882497549057
4158000,0.7700355,0.00012184351,6.708891,66.14599822106538,518.6666666666666,66.14599806070328
4160000,0.9746373,0.000121757774,3.2080367,32.435799699664734,894.0,49.153649255633354
4162000,0.87865573,0.00012167325,4.035467,32.658766350980535,672.0,32.65880125761032
4164000,0.7929452,0.00012158849,4.0092134,49.42044826989877,577.5,32.61363071203232
4166000,0.43548328,0.00012150333,8.443314,82.86765066887408,464.0,79.64034034013748
4168000,0.78744924,0.00012141511,4.1668005,32.633398868201766,697.3333333333334,65.9680331448714
4170000,0.5937136,0.000121329926,7.769177,99.73629912527811,262.57142857142856,85.3401996919087
4172000,0.7126436,0.00012124488,10.086789,99.67759730000981,321.2,99.69349759320419
4174000,0.7919921,0.00012115891,4.4658575,59.518859652279936,479.6,74.64834613353014
4176000,1.229643,0.00012107491,5.019203,79.70043893175898,298.6,66.25051546593507
4178000,0.86226034,0.00012098629,4.046442,79.5758182323334,422.8,79.5758178472519
4180000,1.0231036,0.000120900775,1.9434158,32.62203365496922,709.0,32.622030317783356
4182000,0.64688087,0.00012081812,3.072949,99.26685127732344,730.5,99.2668526917696
4184000,0.7975685,0.00012073002,8.422084,74.34159929766793,656.0,74.34159810841084
4186000,0.7653434,0.000120644116,3.2201319,66.12319822264544,541.3333333333334,66.12319942315419
4188000,0.604722,0.00012055685,4.569135,65.93893474658641,725.0,65.93893325328827
4190000,0.81267935,0.000120471486,6.2013717,79.5914400305599,407.0,79.5914384841919
4192000,0.54583025,0.000120389166,8.226616,79.59203992066905,406.6,79.59203815460205
4194000,0.75412846,0.00012030106,9.350367,79.5847209563246,413.6,79.58471953868866
4196000,0.5420528,0.00012021283,6.0922937,65.9828008649929,681.6666666666666,65.98279938101768
4198000,0.7644714,0.00012012822,2.8835597,49.3104990953434,687.0,49.31049846112728
4200000,0.92634386,0.000120041026,6.161461,59.515539598779284,482.4,59.515539354085924
4202000,0.8651146,0.00011995454,2.3333101,32.53866726667426,792.0,49.307648062705994
4204000,0.55109215,0.00011987318,12.6365185,99.68268467353967,316.3333333333333,83.01048318048318
4206000,0.7463498,0.00011978966,6.073678,74.56447557624779,433.75,79.4583617091179
4208000,0.49145237,0.00011970279,5.707665,79.5894797035493,409.0,79.58947925567627
