Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Policy/Learning Rate,Losses/Value Loss,Losses/Policy Loss,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
5700000,-0.09379382,1.6264435,5.5841836e-05,0.0001693456,0.03223488,-1.8433373513398692,1996.25,-1.8433375880122185
5705000,-0.10402501,1.391516,5.5627792e-05,None,None,None,None,None
5710000,-0.09729235,1.5704014,5.5411187e-05,0.0005641139,0.034459095,-2.4587997347698547,1996.25,-2.458799958229065
5715000,-0.08747409,1.5116062,5.51561e-05,0.00027839636,0.033853766,-2.425749764977809,1996.25,-2.425749972462654
5720000,-0.094900995,1.6038909,5.4942084e-05,0.00021862096,0.033740103,None,None,None
5725000,-0.10208602,1.5570637,5.4725457e-05,0.00022404557,0.02954303,-2.5892372854468704,1996.0,-2.589237578213215
5730000,-0.111392826,1.5685562,5.451362e-05,0.00016629948,0.039720852,-2.043887339390494,1996.25,-2.0435501039028168
5735000,-0.11333346,1.5323094,5.434403e-05,0.00032887477,0.039758183,None,None,-2.0440001090367637
5740000,-0.14839622,1.4311641,5.4127388e-05,0.000715587,0.033383515,-2.8306746983180346,1996.25,-2.8306749016046524
5745000,-0.14890675,1.4899857,5.3903557e-05,None,None,-11.419099779450335,593.0,-11.419100046157837
5750000,-0.11236356,1.4338092,5.3690677e-05,0.15779325,0.03193338,-2.7900621556800616,1996.0,-2.7900623828172684
5755000,-0.11551909,1.5358428,5.3472137e-05,0.0002768632,0.036979735,-1.960483156721845,1996.3333333333333,-1.960483302672704
5760000,-0.11082313,1.5909895,5.3261705e-05,0.0007823146,0.032889787,-2.220199774412322,1996.0,-2.220200002193451
5765000,-0.11271099,1.4461805,5.304588e-05,0.0003351129,0.036634438,-2.521824753297551,1996.0,-2.5384499728679657
5770000,-0.11933444,1.5039431,5.2837753e-05,0.000311495,0.034794535,-2.3403330681612715,1996.3333333333333,-2.4062499552965164
5775000,-0.11581578,1.5048873,5.2620973e-05,0.00028629866,0.039756157,-2.265199739835225,1997.0,-2.315216541290283
5780000,-0.11662942,1.4072729,5.240697e-05,0.00029450137,0.034577053,-1.9220165122242179,1996.3333333333333,-1.9220167398452759
5785000,-0.116129234,1.5410092,5.219031e-05,0.00020061477,0.034930848,-1.7705998559104046,1996.0,-1.7705999910831451
5790000,-0.12502237,1.4927074,5.1976214e-05,None,None,-3.11461215140298,1996.0,-3.114612340927124
5795000,-0.12536177,1.5056754,5.1757674e-05,0.00030256048,0.033061486,-2.350733067811234,1996.3333333333333,-2.350733235478401
5800000,-0.13178399,1.5575203,5.154726e-05,0.00030307798,0.030423354,-2.0551998074370204,1996.0,-2.0552000552415848
5805000,-0.11004983,1.6046783,5.133142e-05,0.00022062282,0.036984917,-2.4724497093993705,1996.0,-2.501766582330068
5810000,-0.11200966,1.5928252,5.1123305e-05,0.00024052635,0.037836738,-2.455133050927543,1996.3333333333333,-2.419899895787239
5815000,-0.11226992,1.5289158,5.0906514e-05,0.00024178509,0.028872196,-2.4127997688628966,1997.0,-2.440966566403707
5820000,-0.114031315,1.590451,5.0692513e-05,0.00031002105,0.037906826,-2.2306331249468108,1996.3333333333333,-2.23063333829244
5825000,-0.10238786,1.5105081,5.047585e-05,0.00030249348,0.029980212,-2.181649795296835,1996.0,-2.18164986371994
5830000,-0.10895171,1.4958941,5.0261748e-05,0.00020022754,0.032910477,-2.1693498054919473,1996.0,-2.1693499833345413
5835000,-0.1022927,1.4860897,5.0043214e-05,None,None,-1.6639331955763434,1996.3333333333333,-1.6639333566029866
5840000,-0.10516681,1.5412184,4.98328e-05,0.00017755352,0.031177443,-1.5159998671733774,1996.0,-1.5160000324249268
5845000,-0.09200911,1.4932057,4.9616967e-05,0.00025096704,0.038139485,-1.6452873620983155,1996.0,-1.5931833982467651
5850000,-0.09354692,1.5967755,4.940885e-05,0.00029183005,0.03389757,-1.8913998652424198,1996.3333333333333,-1.8465751260519028
5855000,-0.09792638,1.5190481,4.9192055e-05,0.00025166105,0.03397537,-1.828549873243901,1997.0,-1.8704001307487488
5860000,-0.13132817,1.4904705,4.8978054e-05,0.0002824365,0.032637753,-3.5674162451129328,1996.3333333333333,-3.567416469256083
5865000,-0.109621525,1.5095638,4.8761398e-05,0.00041894361,0.030572843,-3.9904994786484167,1996.0,-3.9904996752738953
5870000,-0.11968869,1.6317952,4.8547303e-05,0.00019595896,0.039710503,-2.7420496928352804,1996.0,-2.7420499548316
5875000,-0.119346656,1.4670136,4.8328766e-05,0.00033580532,0.03225355,-2.855033020527723,1996.3333333333333,-2.855033149321874
5880000,-0.113866426,1.3272691,4.8118338e-05,None,None,-2.4857497993070865,1996.0,-2.4857500195503235
5885000,-0.11502185,1.559856,4.7902504e-05,0.00022846831,0.031519365,-1.7328998582815984,1996.0,-1.682933397591114
5890000,-0.10461952,1.476782,4.769439e-05,0.0006967913,0.035091612,-2.9076496632381654,1996.3333333333333,-2.3953499905765057
5895000,-0.105106376,1.5946889,4.7477602e-05,0.00033552657,0.039486777,-2.6542496570473304,1997.0,-2.823099821805954
5900000,-0.10504945,1.3904198,4.72636e-05,0.00020532418,0.038327213,-2.254049713112181,1996.3333333333333,-2.254049758116404
5905000,-0.11334805,1.5682759,4.7046942e-05,0.00025297643,0.029806018,-2.326799735732493,1996.0,-2.3267999291419983
5910000,-0.10375251,1.5549793,4.683285e-05,0.00033358383,0.027176024,-2.870824728957814,1996.0,-2.8708250150084496
5915000,-0.11028161,1.5888085,4.6614314e-05,0.00017116654,0.031981107,-2.065833183893119,1996.3333333333333,-2.065833409627279
5920000,-0.102241896,1.5190079,4.640388e-05,0.00031091794,0.034526058,-2.51164977659937,1996.0,-2.511650025844574
5925000,-0.10539894,1.5923171,4.6188045e-05,0.00033696825,0.033174463,-1.8230623279050633,1996.0,-1.8903666585683823
5930000,-0.104891405,1.524343,4.5979927e-05,None,None,-1.5483332277217414,1996.3333333333333,-1.5848250985145569
5935000,-0.089812644,1.4501569,4.576315e-05,0.00015807319,0.037668075,-1.1832999194739386,1997.0,-1.4266000588734944
5940000,-0.09524187,1.6424091,4.554915e-05,0.0002218464,0.029596316,-1.330266557924915,1996.3333333333333,-1.330266684293747
5945000,-0.084399864,1.4567742,4.5332483e-05,0.00029522882,0.029606322,-1.8287498224817682,1996.0,-1.8287499845027924
5950000,-0.09275057,1.542293,4.5118384e-05,0.00018234909,0.03930511,-1.634762333604158,1996.0,-1.634762437082827
5955000,-0.08931986,1.5883874,4.4899854e-05,0.00014979318,0.038399536,-2.2619331098297457,1996.3333333333333,-2.261933366457621
5960000,-0.08519149,1.5217398,4.4689416e-05,0.0002764365,0.034821834,-2.0198997561237775,1996.0,-2.0198997855186462
5965000,-0.08873622,1.4850419,4.4473592e-05,0.00021997807,0.039744325,-2.2282622989114316,1996.0,-2.1650999983151755
5970000,-0.09506697,1.4829535,4.426547e-05,0.00019219334,0.033424452,-2.019316496909596,1996.3333333333333,-2.2186000645160675
5975000,-0.09841192,1.4054048,4.4048684e-05,0.00016361375,0.03079878,-1.7914998572232435,1997.0,-1.9433333526055019
5980000,-0.09605096,1.4915503,4.3834687e-05,None,None,-2.0432665175127718,1996.3333333333333,-2.0432667632897696
5985000,-0.0967444,1.573671,4.3618023e-05,0.00019976194,0.03501796,-2.3839997726900037,1996.0,-2.3839999735355377
5990000,-0.11103954,1.5578622,4.3403932e-05,0.0005396598,0.035441082,-2.7983621437379043,1996.0,-2.7983622401952744
5995000,-0.112666056,1.5133849,4.3185388e-05,0.00041002862,0.040897317,-2.8042663731903303,1996.3333333333333,-2.804266562064489
