Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Policy/Curiosity Reward
2000,0.26557034,0.0002999434,3.3448935,-3.4252548,-0.9819861760734057,1489.0,-0.9819861948490143,0.0
4000,0.45308855,0.00029982268,-6.1158338,9.018231,-0.9767002244443574,1488.0,-0.9767002314329147,0.0
6000,0.33661503,0.000299703,-11.786354,0.37760997,-0.978458240018881,1488.0,-0.9814853630959988,348.0
8000,0.64094853,0.0002995834,-33.385117,12.149263,-0.9806807662353094,1488.0,-0.9780559465289116,1500.0
10000,0.48644736,0.00029946264,-34.000126,-8.683742,-0.913047234982514,1488.0,-0.9130472093820572,1500.0
12000,0.64618695,0.00029934297,-49.62432,32.933304,-0.9760685456694773,1488.0,-0.9640992991626263,1500.0
14000,0.6660528,0.00029922344,-40.95204,33.224846,-0.9838720058396575,1488.0,-0.9859549086540937,1086.0754871368408
16000,0.39721066,0.00029910268,-45.105324,42.949036,-0.9855641728645423,1488.0,-0.9855641350150108,21.003883004188538
18000,0.28171828,0.00029898295,-31.408552,3.2043772,-0.9483478175843629,1488.5,-0.972373653203249,1501.0
20000,0.5680606,0.0002988633,17.591835,4.1432123,-0.9838231297035236,1488.0,-0.9540725480765104,919.9045715332031
22000,0.46082678,0.00029874136,-18.579231,4.140449,999.1543782035951,1276.0,999.1543918773532,401.55426025390625
24000,0.25675133,0.00029862035,13.365732,1.4459904,-0.9631204424003954,1488.0,-0.9631204474717379,1500.0
26000,0.68632126,0.00029850076,-61.863693,34.79142,-0.9667517446541751,1488.0,-0.9667517729103565,1031.0717911720276
28000,0.36788157,0.00029838004,-56.641533,52.416626,-0.9648628053764696,1489.0,-0.9648627899587154,1501.0
30000,0.2164713,0.00029826025,-17.46705,55.303024,-0.9907814394537127,1488.0,-0.9907814487814903,1482.6683807373047
32000,0.40741587,0.0002981407,-8.421861,71.797424,-1.1108497951026948,1488.0,-1.110849805176258,1500.0
34000,0.54055077,0.00029801996,-29.164494,61.885124,-1.0108546792871493,1488.0,-1.0108546912670135,1500.0
36000,0.68075144,0.00029789895,-17.058422,41.310955,499.03815488778855,1383.0,499.0381440166384,920.3717084527016
38000,0.6818912,0.00029777802,-20.77613,41.849983,-1.0047625249317207,1488.0,-1.0047625601291656,1352.5375366210938
40000,0.8606463,0.0002976583,-23.346714,49.312325,-1.0334780394441623,1488.0,-1.0249170064926147,627.0752906799316
42000,0.74792606,0.00029753873,-32.02949,46.201332,-1.0406955018661392,1488.0,-1.0413673222064972,280.1629963517189
44000,0.52102554,0.000297418,-31.366014,45.186646,-0.980832000823284,1488.0,-0.9808319807052612,145.1415810585022
46000,0.51820695,0.00029729833,-9.597413,36.20264,-0.9755116288615682,1488.0,-0.9663058631122112,19.512438893318176
48000,0.87710494,0.00029717866,-35.46295,37.972237,-0.9903144653544587,1489.0,-0.9875159226357937,18.79428744316101
50000,0.49586892,0.0002970578,-34.791916,39.80217,499.30614134953976,1063.0,499.3061325792223,828.6496480405331
52000,0.45600262,0.00029693695,-14.87866,30.34982,-0.964107977495587,1488.0,-0.9641079269349575,78.31300806999207
54000,0.7043799,0.00029682007,-20.600986,46.90694,-0.9831405640434241,1488.0,-0.983140554279089,153.37116146087646
56000,0.4968174,0.00029670037,-14.491938,44.958588,-0.9747134733661369,1488.5,-0.9747135024517775,505.290346801281
58000,0.30673936,0.0002965769,-6.4915056,36.124546,-0.955488423245697,1488.0,-0.9554884061217308,1500.0
60000,0.25517622,0.00029646003,-16.383322,40.76224,-0.9831951912383374,1488.0,-0.98319511115551,645.1134468913078
62000,0.54722935,0.00029634035,7.6103406,17.832119,-0.9764677462990221,1488.0,-0.9764677565544844,1500.0
64000,0.40642616,0.0002962169,-0.27072662,31.751928,-0.9847684524320357,1488.0,-0.9847684539854527,305.7586860656738
66000,0.15376699,0.00029610004,1.1440915,57.900692,-0.9489105273460154,1488.0,-0.9489105269312859,18.23639976978302
68000,0.0046739737,0.0002959802,-7.9738674,74.555916,332.6728203051862,993.0,332.67282775541145,465.04560122887295
70000,0.23051316,0.00029585668,18.744625,20.049969,-0.9837164724194736,1488.0,-0.9837164729833603,80.84851694107056
72000,0.2018346,0.00029573982,-4.315417,32.7268,-1.0180690807683277,1488.0,-1.0180690735578537,281.6106430888176
74000,0.39628664,0.0002956201,7.6991315,22.697374,-0.9695522456349863,1488.0,-0.9695522617548704,703.2870717942715
76000,0.20899466,0.00029549666,0.2170248,34.146534,-0.9852735916283564,1488.0,-0.9852735809981823,7.125576496124268
78000,0.027486,0.00029537978,15.128106,72.34949,-1.1626303716548136,1488.0,-1.16263035684824,847.0178699493408
80000,0.36277285,0.00029526014,46.898483,68.09066,-1.0296931467546528,1488.0,-1.029693178832531,160.59639005362988
82000,0.25840855,0.00029513668,31.667908,42.24105,-1.0678934831703373,1488.0,-1.0678934827446938,1114.7733764648438
84000,0.015592639,0.00029501977,28.480946,66.58262,-0.9848613139292866,1489.0,-0.9848613291978836,129.32363855838776
