Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Policy/Curiosity Reward
86000,0.25562346,0.00029490003,21.413097,59.76291,-1.1240854143525212,1488.0,-1.1240854170173407,6.373643063008785
88000,0.003735437,0.0002947766,0.09431648,66.50714,-0.9954407358745812,1488.0,-0.9954407215118408,1007.1851100176573
90000,0.18428172,0.00029465972,20.347055,58.331535,-0.9885036521191068,1488.0,-0.9885036237537861,2.9788279235363007
92000,0.009656587,0.00029454002,8.269308,68.8209,-1.08937884648185,1488.0,-1.089378871023655,3.55921870470047
94000,0.19956751,0.00029441662,10.013496,56.73667,-0.9860946249573317,1488.0,-0.9860946759581566,3.8357755690813065
96000,0.5727221,0.00029429968,21.478931,34.063213,-1.3257003922190052,1489.0,-1.325700394809246,122.30430543422699
98000,0.11174658,0.00029418,-9.013798,8.960579,-0.9671621529487311,1488.0,-0.9671621602028608,762.2509963810444
100000,0.34077412,0.00029405652,8.592759,41.921516,-1.1283589395243325,1488.0,-1.12835893034935,29.69281205534935
102000,0.0021211412,0.0002939397,24.821348,54.201683,-0.9979169614889543,1488.0,-0.9979170337319374,9.261665225028992
104000,0.025160601,0.00029382,26.305574,53.16808,-0.99298222593643,1488.0,-0.9929822366684675,2.491985559463501
106000,0.03220098,0.0002936965,14.403967,64.49182,-0.99235708242486,1488.0,-0.9923571012914181,1.8466914370656013
108000,0.5019563,0.00029357965,16.859636,51.47234,-1.1687093991495203,1488.0,-1.1687094271183014,4.5265583992004395
110000,0.67985404,0.00029345992,-24.553045,47.14834,-1.0521997275063768,1488.5,-1.0521997436881065,244.8471196293831
112000,0.4631619,0.00029334036,-13.446343,41.88461,-0.9768652194761671,1488.0,-0.9768652468919754,337.221981048584
114000,0.15792845,0.00029322348,-2.67164,26.154974,-1.2259090405132156,1488.0,-1.2259090393781662,6.21232508122921
116000,0.030218355,0.00029309993,-15.131181,37.051323,-0.9708869908627094,1488.0,-0.9708869978785515,7.046115726232529
118000,0.15057097,0.0002929803,-11.793889,41.26974,-0.9837390259090171,1488.0,-0.9837390296161175,7.564029306173325
120000,0.29805037,0.00029286343,0.4024613,48.20425,-0.9868966562098649,1488.0,-0.9868966341018677,1.286410003900528
122000,0.012817122,0.00029273992,8.331576,60.36386,-1.1131769190906198,1488.0,-1.1131769232451916,2.8337078504264355
124000,0.011189042,0.00029262033,21.774727,48.35153,-0.9891048313256761,1488.0,-0.9891047962009907,15.72365027666092
126000,0.04232091,0.00029250342,11.045165,69.553085,-1.003712281362823,1489.0,-1.0037123002111912,5.2684405371546745
128000,0.27638814,0.00029237985,11.892466,70.76626,-1.002583163754025,1488.0,-1.002583134919405,1.716447276994586
130000,0.44339976,0.00029226026,24.852472,18.954512,-1.060059875533625,1488.0,-1.0600598640739918,6.719525754451752
132000,0.53205734,0.0002921434,19.971453,35.94378,-0.9855936009189463,1488.0,-0.9855936169624329,5.6846752762794495
134000,0.17503364,0.00029202065,-8.609281,45.819916,332.56220618069227,1067.6666666666667,332.5622072281937,4.401951054732005
136000,0.69048434,0.00029189905,-9.523884,43.26064,499.35626979982044,916.5,499.3562556002289,6.62784469127655
138000,0.561803,0.0002917795,2.8289118,37.612,-1.1291392175262445,1488.0,-1.129139244556427,9.79364513605833
140000,0.19734368,0.00029165877,-8.362903,20.611946,-1.2457622884940065,1488.0,-1.2457623407244682,1.6494259685277939
142000,0.33126545,0.00029153904,12.253218,10.366659,-0.9734940383332287,1488.5,-0.9734940230846405,7.133417829871178
144000,0.18136926,0.0002914194,-4.9587374,37.347008,-0.9853372514517105,1488.0,-0.9853372499346733,4.584450453519821
146000,0.47126746,0.0002912987,7.995826,33.48738,-1.2222110735747265,1488.0,-1.2222110629081726,1.076822742819786
148000,0.13451019,0.000291179,6.987067,53.37007,-0.9641932496106165,1488.0,-0.9641932547092438,200.43957966193557
150000,0.34031,0.00029105943,15.979275,41.126938,-0.9934499969385797,1488.0,-0.9934500083327293,1.6897075921297073
152000,0.2713225,0.0002909387,16.764303,48.7713,-1.0088562275050208,1488.0,-1.0088562183082104,4.65187568962574
154000,0.2626144,0.000290819,15.67754,33.097538,-1.075919947012153,1488.0,-1.0759199373424053,5.754054071381688
156000,0.03676397,0.00029069945,5.1443043,40.45627,-1.0377099924371578,1488.0,-1.0377099737524986,0.6025714166462421
158000,0.014679754,0.00029057867,14.629031,37.703415,-1.0035191420829506,1489.0,-1.0035191401839256,0.5981348156929016
160000,0.0059389486,0.000290459,9.353325,26.562603,-0.983011085243561,1488.0,-0.983011107891798,4.046307377517223
162000,0.022730779,0.00029033935,2.735281,29.73467,-0.9891737926191126,1488.0,-0.9891737774014473,1.3605496436357498
164000,0.524773,0.00029021865,7.1151533,31.814121,-0.9846180260137771,1488.0,-0.9846180528402328,0.4097107760608196
166000,0.25045335,0.00029009895,4.9857645,55.35004,-1.0476160947691824,1488.0,-1.0476161148399115,4.125930716283619
168000,0.5790643,0.00028997936,13.947069,36.275326,-1.1454404556825466,1488.0,-1.1454404965043068,3.1038529127836227
170000,0.04177944,0.00028985867,7.1612225,43.39722,-0.9907223873669864,1488.0,-0.9907224141061306,0.7528967075049877
172000,0.5660474,0.0002897389,10.432932,42.945866,-1.0491692993273318,1488.5,-1.049169309437275,1.6666323691606522
174000,0.01176881,0.0002896193,3.8281994,44.01484,-0.9941062409379811,1488.0,-0.9941063113510609,0.3770712446421385
176000,0.03594869,0.00028949857,9.132587,38.230915,-0.9881284473158303,1488.0,-0.9881284721195698,0.3830370120704174
178000,0.28073308,0.00028937892,14.059006,18.738756,-1.0382154631533922,1488.0,-1.038215460255742,2.8620039019733667
180000,0.2520039,0.0002892593,-8.302937,31.931261,-0.9794917308645381,1488.0,-0.9794917292892933,31.535038724541664
182000,0.3530674,0.0002891386,-26.03186,43.320755,-0.9912676510430174,1488.0,-0.9912676922976971,4.587412983179092
184000,0.121072456,0.00028901888,-21.159412,42.642994,-0.98856867628092,1488.0,-0.9885686598718166,3.2762788459658623
186000,0.39962217,0.0002888993,-35.939713,42.892025,-0.9702492871074355,1488.0,-0.9702492766082287,3.8916484713554382
188000,0.6286148,0.0002887786,-17.84623,31.223156,-1.0793124482261192,1489.0,-1.0793124623596668,5.248212352395058
