Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
2000,0.6665939,0.00029994745,-21.859995,-14.1692128385439,996.5,-19.9597225189209
4000,0.54368514,0.00029982068,-2.7546155,20.411487732451253,738.3333333333334,19.2958588997523
6000,0.8160284,0.00029969405,-17.75158,-174.37144642331987,996.5,-134.20999825000763
8000,0.19920366,0.000299574,-23.441587,-537.3537706840434,996.0,-240.97442603111267
10000,0.2432413,0.00029945397,-50.028038,-447.4873680000892,996.0,-552.0425662994385
12000,1.1884032,0.000299334,-11.132822,-14.832748817658285,996.0,-237.05013358592987
14000,0.26593682,0.000299214,-37.05017,-449.24872132448945,996.0,-243.9952176809311
16000,0.34025538,0.00029909395,-45.839516,-442.92336988350144,996.5,-408.94948875904083
18000,0.59216386,0.00029897393,-47.22059,-258.30951871510115,996.0,-263.1342582702637
20000,0.1938972,0.00029885396,-27.912933,-142.15379705694795,996.0,-244.46903547644615
22000,0.16924763,0.00029873397,-76.950485,-573.9731816869462,996.0,-385.6419429779053
24000,0.13918945,0.00029861394,-30.207325,-249.55365195436752,996.0,-586.5572128295898
26000,0.40453252,0.0002984939,-30.84385,-351.4785142596811,996.5,-126.09555250406265
28000,0.27166346,0.0002983739,-8.968817,-215.33772455431972,996.0,-214.77934363484383
30000,0.5533116,0.00029825384,-36.20205,-231.54962667555083,996.0,-425.00563049316406
32000,0.42248955,0.00029813385,-19.93686,-77.83003069406186,996.0,-98.70628845691681
34000,0.62101465,0.00029801388,-16.767612,-135.64796933019534,996.0,-36.45217573642731
36000,0.27998593,0.00029789386,-35.34387,-304.9676713582594,996.5,-204.7366065979004
38000,0.12705737,0.00029777377,-17.733177,-216.98938497132258,996.0,-204.3379967212677
40000,0.86107,0.0002976538,-24.065273,-66.3478695628146,996.0,-277.37369203567505
42000,0.59073746,0.0002975338,-43.266975,-233.24814460601192,996.0,-17.86465346813202
44000,0.7621176,0.00029741417,-24.557661,59.3883142612176,734.0,-109.57061664263408
46000,0.5503639,0.00029729464,-36.95086,-437.31225084362086,996.0,-437.31225204467773
48000,0.6456256,0.0002971746,-26.59235,-165.47847281297436,996.0,-165.4784700870514
50000,0.774634,0.0002970546,-17.975588,-103.0457259240793,996.0,-103.04572415351868
52000,0.71051526,0.00029693457,-26.543055,-111.78655940524186,996.5,-111.7865560054779
54000,0.21870069,0.00029681454,-64.936905,-329.31278439995367,996.0,-329.31275844573975
56000,0.6634557,0.0002966946,-29.13106,-221.81210124095378,996.0,-221.8121418952942
58000,0.62569326,0.00029657458,-8.502185,-93.199888587842,996.0,-93.19989573955536
60000,0.39382058,0.00029645456,-13.963306,0.040435556147713214,996.0,0.04043591022491455
62000,0.52161044,0.00029633453,-27.248726,-93.59199374433956,996.5,-93.59199965000153
64000,0.9565,0.0002962145,-34.74575,-3.811602366331499,996.0,-3.8116031289100647
66000,1.0056399,0.00029610042,-25.055721,-43.15682799739685,680.6666666666666,-43.15682633717855
68000,0.47973886,0.00029598677,-47.019646,-104.62798589228623,996.0,-104.62799420952797
70000,1.1457074,0.000295864,0.6256766,64.30015449848725,913.0,64.30015528202057
72000,0.53519154,0.0002957423,-27.457075,60.592549459048314,821.0,50.5838565826416
74000,1.6218797,0.00029562367,1.0522215,-32.998264923662646,996.5,33.373446464538574
76000,0.9754086,0.00029550365,-39.90233,-218.43893158677383,996.0,-227.97643423080444
78000,1.3743584,0.00029538362,-4.5973954,-114.39688525584643,996.0,-120.69860315322876
80000,0.4459937,0.00029526366,-22.693987,0.11928063945379108,996.0,-7.370470941066742
82000,1.269436,0.00029514445,-7.4696646,48.98933786118869,599.0,30.834389249483745
84000,0.98589313,0.00029502303,-24.612356,-45.29610177538901,773.0,-45.296106815338135
86000,1.0603241,0.00029490198,-12.165363,81.21996607875917,567.0,81.21996696790059
88000,1.1774511,0.0002947836,-21.412384,48.58394782877076,986.5,48.58394384384155
90000,1.1667423,0.00029466237,-12.739624,126.44722774573893,700.75,92.82080221176147
92000,0.66138095,0.00029454063,-11.790033,63.988565102517896,755.0,118.43454682826996
94000,0.46040598,0.00029442072,-15.907266,67.0972761742014,612.25,87.60702705383301
96000,0.32428217,0.0002943028,-26.016365,1.4836389943957329,996.0,3.6144304275512695
98000,0.70549196,0.00029418492,-33.569847,-75.06126316799782,830.5,-49.605361541112266
100000,0.6532103,0.00029406734,-12.744992,0.8198342766845599,996.0,0.8198336362838745
102000,0.84530663,0.00029394735,-17.17825,-15.077334287772828,996.0,-15.077333152294159
104000,0.83218443,0.00029382732,-17.283146,8.062171249272069,996.0,8.062171220779419
106000,0.6980366,0.00029370733,-19.065231,11.71087304627872,996.0,11.710872650146484
108000,0.5000606,0.0002935873,-47.675827,-128.7807815259439,996.5,-128.78078496456146
110000,0.8446283,0.00029346725,-28.850748,30.79014964212911,996.0,30.790151059627533
112000,1.6627599,0.00029334723,-1.6213074,4.849211328313686,996.0,4.849212646484375
114000,1.3005165,0.00029322697,1.291333,94.3698601014039,497.75,94.36985898017883
116000,1.0194778,0.0002931073,-6.3541245,-17.90698121782043,996.0,-17.906980276107788
118000,1.1399133,0.0002929831,-3.8111746,69.72276108505321,935.0,69.72276210784912
120000,0.8020319,0.00029286157,-24.992981,21.997753891436634,805.3333333333334,50.00522202253342
122000,0.848407,0.00029274457,-11.684821,71.81940551179771,488.3333333333333,45.3602577149868
124000,1.1658016,0.0002926253,-18.228416,-20.286704099737108,996.5,-20.28670334815979
126000,0.93230355,0.0002925053,-28.734875,-7.9637691970820015,996.0,-7.963768899440765
128000,0.28297955,0.0002923842,-16.17082,48.060265537002124,760.0,48.0602642695109
130000,0.4528259,0.0002922625,-25.779358,71.08029078655818,755.0,71.08028703927994
132000,1.3584402,0.0002921415,-6.4817867,4.943435407010838,996.0,4.943434566259384
134000,1.4407111,0.00029202152,0.48917472,21.381624687754083,996.0,21.381624817848206
136000,0.7809724,0.00029190155,-21.363539,11.00139267477789,996.0,11.001392722129822
138000,1.007283,0.00029178156,-17.877777,8.63500452550943,996.5,8.635004162788391
140000,0.71336514,0.00029166148,-12.927071,-3.0994772147387266,996.0,-3.099477529525757
142000,1.1023402,0.0002915415,-32.359306,-107.66969521573628,996.0,-107.6696949005127
144000,0.9893685,0.0002914215,-15.913321,-8.096146235213382,996.0,-8.09614509344101
146000,0.8496278,0.00029130152,-22.899809,55.853767810040154,996.0,55.853763699531555
148000,1.0296035,0.00029118193,-16.541542,8.14089036071285,827.6666666666666,8.14089330037435
150000,1.304598,0.0002910626,-14.163267,-18.009421254275367,996.0,-18.009422540664673
152000,1.222211,0.0002909426,5.9272757,-131.32592843149905,996.0,-131.32593035697937
154000,0.69664294,0.0002908226,-24.487793,-104.39591701485915,996.5,-104.39592111110687
156000,1.2631165,0.00029070352,-6.958196,5.660229371632643,736.6666666666666,60.07902932167053
158000,1.3518381,0.00029058472,-1.3619525,97.3135482823127,742.5,30.483245690663654
160000,0.5788845,0.0002904646,-15.347567,-131.83244081703015,996.0,-131.83243334293365
162000,1.3656937,0.00029034453,2.3166215,4.829388053913135,996.5,4.829387009143829
164000,1.1006697,0.0002902209,1.2429304,63.06691837204077,701.0,63.06691740949949
166000,1.1310093,0.0002900978,-9.284731,-9.04546075037797,996.0,-9.04545783996582
168000,0.8953596,0.00028997893,2.2316697,97.61419878616773,732.3333333333334,97.6142010986805
170000,0.8126704,0.00028986073,-9.067933,-8.077524224718218,996.0,-8.077522963285446
172000,0.8502613,0.0002897407,3.0792286,-66.19743361853762,996.0,-66.19743168354034
174000,0.83610713,0.00028962074,-4.32964,-105.45650252464111,996.0,-105.45649909973145
176000,0.58852226,0.00028950212,-11.434085,-154.96886567430556,716.0,-154.9688675403595
178000,0.7066108,0.00028938375,-12.324543,-56.71227980994445,996.0,-56.71227407455444
180000,0.9706407,0.00028926373,-2.097993,-21.20871919230558,996.0,-21.2087219953537
182000,0.7914391,0.00028913797,-12.947057,45.87346405650023,536.0,45.87346334457398
184000,1.1313527,0.00028901687,1.4919357,56.02562152937753,672.5,56.0256233215332
186000,0.8542481,0.00028890115,-10.085448,15.677417205180973,996.0,15.677416540682316
188000,0.5947206,0.0002887766,-15.230314,5.385189751822812,882.0,5.38518762588501
190000,0.672119,0.00028865243,-12.905928,-70.18654296826571,996.0,-70.1865451335907
192000,0.97673506,0.00028853244,-0.9058356,28.23223130023689,996.0,28.232238054275513
194000,0.41850045,0.00028841363,-22.811016,-59.224059795766756,734.6666666666666,-63.5057487487793
