Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
2000,0.5336437,0.0002999413,-27.347881,32.52487494277981,644.3333333333334,32.524875555187464
4000,0.51061475,0.00029981983,-11.542328,-0.9991875707055442,796.0,-0.9991875700652599
6000,0.51199013,0.00029969975,-18.496437,-0.999500070756767,796.0,-0.9995000710090002
8000,0.4370937,0.00029957874,-9.090435,-2.346541714776928,541.3333333333334,-2.3465417002638183
10000,0.31635553,0.00029946322,-13.359525,-2.588083398542949,734.3333333333334,-2.5880833255747953
12000,0.58371574,0.00029934137,-27.624905,-0.999062570699607,796.0,-0.9990625716745853
14000,0.40610102,0.00029922125,1.9538758,-0.9993750707362778,796.0,-0.9993750701347986
16000,0.49030176,0.00029910135,-8.711725,-0.9996875707583968,796.0,-0.9996875710785389
18000,0.68238956,0.00029898118,-1.7842442,-0.9995834040795065,796.3333333333334,-0.9995834032694498
20000,0.5597116,0.0002988613,-7.605008,-0.999062570699607,796.0,-0.9990625716745853
22000,0.06363079,0.0002987412,-33.437645,-0.9993750707362778,796.0,-0.9993750701347986
24000,0.14338106,0.0002986213,-24.029491,-0.9996875707583968,796.0,-0.9996875710785389
26000,0.26832688,0.00029850114,-17.77139,-0.9995834040795065,796.3333333333334,-0.9995834032694498
28000,0.56887007,0.0002983813,-5.533217,-0.999062570699607,796.0,-0.9990625716745853
30000,0.26503536,0.00029826115,-10.749014,-0.9993750707362778,796.0,-0.9993750701347986
32000,0.5622993,0.00029814124,-15.346977,-0.9996875707583968,796.0,-0.9996875710785389
34000,0.57211334,0.000298021,-2.3520064,-0.9995834040795065,796.3333333333334,-0.9995834032694498
36000,0.1255585,0.00029790122,-28.678394,-0.999062570699607,796.0,-0.9990625716745853
38000,0.40277824,0.00029778105,-11.887688,-0.9993750707362778,796.0,-0.9993750701347986
40000,0.4179572,0.0002976612,-17.455622,-0.9996875707583968,796.0,-0.9996875710785389
42000,0.1834122,0.000297541,-22.011974,-0.9995834040795065,796.3333333333334,-0.9995834032694498
44000,0.7365663,0.00029742115,-9.289337,-0.999062570699607,796.0,-0.9990625716745853
46000,0.3032703,0.00029730104,-20.8849,-0.9993750707362778,796.0,-0.9993750701347986
48000,0.51768374,0.0002971811,-5.465284,-0.9996875707583968,796.0,-0.9996875710785389
50000,0.4479708,0.0002970609,-18.498552,-0.9995834040795065,796.3333333333334,-0.9995834032694498
52000,0.5468822,0.00029694106,-6.2371373,-0.999062570699607,796.0,-0.9990625716745853
54000,0.91013455,0.00029682097,2.799158,-0.9993750707362778,796.0,-0.9993750701347986
56000,0.26363754,0.00029670107,-11.91392,-0.9996875707583968,796.0,-0.9996875710785389
58000,0.061000917,0.00029658087,-18.767317,-0.9995834040795065,796.3333333333334,-0.9995834032694498
60000,0.16414106,0.000296461,-18.48164,-0.999062570699607,796.0,-0.9990625716745853
62000,0.6410132,0.0002963409,-4.8053904,-0.9993750707362778,796.0,-0.9993750701347986
64000,0.5571948,0.00029622106,-8.156436,-0.9996875707583968,796.0,-0.9996875710785389
66000,0.3320556,0.00029609984,-9.037937,-2.0087500537010783,604.5,-2.008750081062317
68000,0.5722966,0.00029597912,-11.09049,-0.999062570699607,796.0,-0.9990625716745853
70000,0.5699376,0.00029585898,-12.453925,-0.9993750707362778,796.0,-0.9993750701347986
72000,0.54778004,0.00029574256,-4.5316515,-2.6018750661945282,745.0,-0.9996875710785389
74000,0.63640666,0.00029561977,-11.12159,-0.999062570699607,796.0,-2.6014583135644593
76000,0.43468425,0.0002955007,-6.363985,-0.9993125707260333,796.0,-0.9993125684559345
78000,0.56117785,0.0002953806,-10.897137,-0.9996250707578535,796.0,-0.9996250718832016
80000,0.88290787,0.0002952614,-9.849658,32.572709052629456,606.0,32.57270905996362
82000,0.99820334,0.00029514238,-5.008652,-0.9997500707589401,796.0,-0.9997500702738762
84000,1.0601157,0.0002950224,-6.7783256,-0.9994375707392464,796.5,-0.9994375705718994
86000,0.9223213,0.0002949023,-3.9415712,-0.9991250707050009,796.0,-0.9991250708699226
88000,0.7384835,0.00029478237,-5.653442,-0.9994375707465224,796.0,-0.9994375705718994
90000,0.70107603,0.0002946623,-6.480749,-0.9997500707589401,796.0,-0.9997500702738762
92000,0.69407773,0.00029454232,-1.8097864,-0.9994375707392464,796.5,-0.9994375705718994
94000,0.51081306,0.0002944222,-9.530105,-0.9991250707050009,796.0,-0.9991250708699226
96000,0.23270108,0.00029430233,-11.267225,-0.9994375707465224,796.0,-0.9994375705718994
98000,0.52819145,0.00029418245,-7.846742,24.17278059637465,658.75,-0.9997500702738762
100000,0.50664526,0.00029406283,-5.801006,-0.999812570749782,796.0,32.563581171135105
102000,0.31974462,0.00029394374,-1.9407656,-0.9994375707392464,796.5,-0.9994375705718994
104000,0.39162925,0.00029382354,-6.765052,-0.9991250707050009,796.0,-0.9991250708699226
106000,0.19470344,0.00029370372,-9.432462,-0.9994375707465224,796.0,-0.9994375705718994
108000,0.8634997,0.00029358358,-0.9039917,-0.9997500707589401,796.0,-0.9997500702738762
110000,0.4228199,0.00029346367,-4.7651,-0.9994375707392464,796.5,-0.9994375705718994
112000,0.9863514,0.00029334347,1.004371,-0.9991250707050009,796.0,-0.9991250708699226
114000,0.72336805,0.00029322368,-4.2878523,-0.9994375707465224,796.0,-0.9994375705718994
