Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Environment/Episode Length
2000,0.63826734,0.00029994376,-11.492913,-52.528828,-114.85739560534057,1985.0
4000,0.5819881,0.00029982382,4.7115216,-10.28533,43.23820707196501,1984.0
6000,0.3410282,0.00029970377,12.633762,-5.6867447,-12.86916797883896,1984.0
8000,0.5521022,0.0002995838,9.251399,-4.9050107,-14.077754194902809,1984.0
10000,0.6136238,0.0002994638,-1.1109159,-2.1992521,-0.9996694135625148,1984.0
12000,0.06397544,0.00029934375,-1.2183623,-21.402426,1.2681334612716455,1984.0
14000,0.38883886,0.00029922003,-4.1081834,-35.44713,228.77571814606563,457.0
16000,0.5679487,0.00029909625,-12.211746,-13.074115,-180.33508942200206,1984.0
18000,0.065562464,0.0002989772,18.773323,24.179623,422.7172231814329,1698.0
20000,0.21329609,0.00029885818,16.849472,89.877075,-45.00239337873063,1984.0
22000,0.29993045,0.00029873836,15.59273,-17.745966,229.991190132685,1306.0
24000,0.8136054,0.00029861857,28.31817,-0.19763064,-39.04884974156084,1984.0
26000,0.5651853,0.00029849863,13.993426,9.578827,-86.93019491367158,1984.0
28000,0.26299107,0.00029837858,18.803642,-7.8334775,-74.00134461349808,1984.0
30000,0.28824574,0.00029825862,-2.2127168,-21.730488,184.11220391304232,1984.0
32000,0.35837838,0.00029813856,6.443114,1.1430279,7.534658073760511,1984.0
34000,0.329173,0.00029801857,24.946585,27.535295,-38.64471455322928,1984.0
36000,0.7197066,0.00029789854,23.23875,32.373035,20.002889096736908,1985.0
38000,0.39327332,0.00029777852,-6.4762993,18.797434,-5.751726171685732,1984.0
40000,0.30795768,0.0002976585,-8.312944,-17.066422,-31.868982389569283,1984.0
42000,0.63293076,0.00029753853,-13.717354,-22.486986,36.05377635274999,1984.0
44000,0.7567609,0.00029741853,10.644689,28.634346,-155.5809291324913,1984.0
46000,0.3480881,0.0002972985,-3.6090803,-1.4829206,31.742654008307,1984.0
48000,0.28678858,0.0002971785,-19.333166,-42.178947,-32.44749781525752,1984.0
50000,0.5417063,0.00029705852,-19.987713,-22.14236,-27.91928617580561,1984.0
52000,0.52148646,0.00029693855,13.648964,32.259506,-8.508358999300981,1984.0
54000,0.6114319,0.0002968185,27.161316,38.66879,-8.259440940397326,1984.0
56000,0.5374846,0.0002966985,28.9898,42.71997,-0.9999999310821295,1985.0
58000,0.16306452,0.00029657848,3.415979,0.4565518,-0.9995499311153253,1984.0
60000,0.04303067,0.00029645846,-7.4210567,-27.29745,-0.9995999311140622,1984.0
